iso3c	year	births	schooling	population	continent	skilled	hexp
AFG	1960	7.282	0.092	9035043	Asia	NA	NA
AFG	1965	7.305	0.1	10036008	Asia	NA	NA
AFG	1970	7.4	0.166	11290128	Asia	NA	NA
AFG	1975	7.542	0.23	12773954	Asia	NA	NA
AFG	1980	7.643	0.356	13169311	Asia	NA	NA
AFG	1985	7.55	0.539	11426852	Asia	NA	NA
AFG	1990	7.576	0.726	12045660	Asia	NA	NA
AFG	1995	7.767	0.957	17065836	Asia	NA	NA
AFG	2000	7.566	1.248	20130327	Asia	12.4	NA
AFG	2005	6.858	1.438	24404567	Asia	NA	9.94828892
AFG	2010	6.195	2.137	28284089	Asia	34.3	8.56967163
AFG	2015	5.652	3.199	33831764	Asia	50.5	10.10534763
ALB	1960	6.383	2.679	1608800	Europe	NA	NA
ALB	1965	5.474	3.046	1864791	Europe	NA	NA
ALB	1970	5.158	4.016	2135479	Europe	NA	NA
ALB	1975	4.566	5.187	2404831	Europe	NA	NA
ALB	1980	3.59	6.419	2671997	Europe	NA	NA
ALB	1985	3.214	7.471	2964762	Europe	NA	NA
ALB	1990	3.014	8.224	3286542	Europe	93	NA
ALB	1995	2.762	8.29	3187784	Europe	89.1	NA
ALB	2000	2.217	9.753	3089027	Europe	99.1	5.9441976500000004
ALB	2005	1.787	10.138	3011487	Europe	99.8	5.72954512
ALB	2010	1.653	10.386	2913021	Europe	NA	6.23667669
ALB	2015	1.631	10.822	2731293	Europe	NA	6.46411896
DZA	1965	7.711	0.576	12365976	Africa	NA	NA
DZA	1970	7.704	0.851	13783719	Africa	NA	NA
DZA	1975	7.485	1.332	15678596	Africa	NA	NA
DZA	1980	6.994	1.954	18607174	Africa	NA	NA
DZA	1985	6.035	3.016	22008544	Africa	NA	NA
DZA	1990	4.509	3.792	25375810	Africa	NA	NA
DZA	1995	3.487	4.691	28470191	Africa	NA	NA
DZA	2000	2.59	5.276	30903893	Africa	92	3.21485448
DZA	2005	2.562	5.941	33109249	Africa	NA	3.1188612
DZA	2010	2.875	6.712	36188236	Africa	NA	4.64001417
DZA	2015	3.091	7.62	40019529	Africa	NA	6.3343544
AND	1960	2.545	NA	9510	Europe	NA	NA
AND	1965	2.715	NA	13634	Europe	NA	NA
AND	1970	2.787	NA	19977	Europe	NA	NA
AND	1975	2.458	NA	27773	Europe	NA	NA
AND	1980	1.83	NA	35782	Europe	NA	NA
AND	1985	1.434	NA	43825	Europe	NA	NA
AND	1990	1.401	NA	52597	Europe	NA	NA
AND	1995	1.319	NA	63912	Europe	NA	NA
AND	2000	1.273	NA	65685	Europe	NA	5.95276403
AND	2005	1.224	NA	77421	Europe	NA	5.59476948
AND	2010	1.275	NA	80706	Europe	NA	7.67537737
AND	2015	1.223	NA	72174	Europe	100	6.91586447
AGO	1980	7.459	NA	8133872	Africa	NA	NA
AGO	1985	7.451	NA	9779120	Africa	NA	NA
